cycle,mode,tick_long_tripsmode
137,trip_tgv,nil
137,trip_ter,nil
137,trip_taxi,nil
138,trip_tgv,nil
138,trip_ter,nil
138,trip_taxi,nil
139,trip_tgv,nil
139,trip_ter,nil
139,trip_taxi,nil
140,trip_tgv,nil
140,trip_ter,nil
140,trip_taxi,nil
141,trip_tgv,nil
141,trip_ter,nil
141,trip_taxi,nil
142,trip_tgv,nil
142,trip_ter,nil
142,trip_taxi,nil
143,trip_tgv,nil
143,trip_ter,nil
143,trip_taxi,nil
144,trip_tgv,nil
144,trip_ter,nil
144,trip_taxi,nil
145,trip_tgv,nil
145,trip_ter,nil
145,trip_taxi,nil
146,trip_tgv,nil
146,trip_ter,nil
146,trip_taxi,nil
147,trip_tgv,nil
147,trip_ter,nil
147,trip_taxi,nil
148,trip_tgv,nil
148,trip_ter,nil
148,trip_taxi,nil
149,trip_tgv,nil
149,trip_ter,nil
149,trip_taxi,nil
150,trip_tgv,nil
150,trip_ter,nil
150,trip_taxi,nil
151,trip_tgv,nil
151,trip_ter,nil
151,trip_taxi,nil
152,trip_tgv,nil
152,trip_ter,nil
152,trip_taxi,nil
153,trip_tgv,nil
153,trip_ter,nil
153,trip_taxi,nil
154,trip_tgv,nil
154,trip_ter,nil
154,trip_taxi,nil
155,trip_tgv,nil
155,trip_ter,nil
155,trip_taxi,nil
156,trip_tgv,nil
156,trip_ter,nil
156,trip_taxi,nil
157,trip_tgv,nil
157,trip_ter,nil
157,trip_taxi,nil
158,trip_tgv,nil
158,trip_ter,nil
158,trip_taxi,nil
159,trip_tgv,nil
159,trip_ter,nil
159,trip_taxi,nil
160,trip_tgv,nil
160,trip_ter,nil
160,trip_taxi,nil
161,trip_tgv,nil
161,trip_ter,nil
161,trip_taxi,nil
162,trip_tgv,nil
162,trip_ter,nil
162,trip_taxi,nil
163,trip_tgv,nil
163,trip_ter,nil
163,trip_taxi,nil
164,trip_tgv,nil
164,trip_ter,nil
164,trip_taxi,nil
165,trip_tgv,nil
165,trip_ter,nil
165,trip_taxi,nil
166,trip_tgv,nil
166,trip_ter,nil
166,trip_taxi,nil
167,trip_tgv,nil
167,trip_ter,nil
167,trip_taxi,nil
168,trip_tgv,nil
168,trip_ter,nil
168,trip_taxi,nil
169,trip_tgv,nil
169,trip_ter,nil
169,trip_taxi,nil
170,trip_tgv,nil
170,trip_ter,nil
170,trip_taxi,nil
171,trip_tgv,nil
171,trip_ter,nil
171,trip_taxi,nil
172,trip_tgv,nil
172,trip_ter,nil
172,trip_taxi,nil
173,trip_tgv,nil
173,trip_ter,nil
173,trip_taxi,nil
174,trip_tgv,nil
174,trip_ter,nil
174,trip_taxi,nil
175,trip_tgv,nil
175,trip_ter,nil
175,trip_taxi,nil
176,trip_tgv,nil
176,trip_ter,nil
176,trip_taxi,nil
177,trip_tgv,nil
177,trip_ter,nil
177,trip_taxi,nil
178,trip_tgv,nil
178,trip_ter,nil
178,trip_taxi,nil
179,trip_tgv,nil
179,trip_ter,nil
179,trip_taxi,nil
180,trip_tgv,nil
180,trip_ter,nil
180,trip_taxi,nil
181,trip_tgv,nil
181,trip_ter,nil
181,trip_taxi,nil
182,trip_tgv,nil
182,trip_ter,nil
182,trip_taxi,nil
183,trip_tgv,nil
183,trip_ter,nil
183,trip_taxi,nil
184,trip_tgv,nil
184,trip_ter,nil
184,trip_taxi,nil
185,trip_tgv,nil
185,trip_ter,nil
185,trip_taxi,nil
186,trip_tgv,nil
186,trip_ter,nil
186,trip_taxi,nil
187,trip_tgv,nil
187,trip_ter,nil
187,trip_taxi,nil
188,trip_tgv,nil
188,trip_ter,nil
188,trip_taxi,nil
189,trip_tgv,nil
189,trip_ter,nil
189,trip_taxi,nil
190,trip_tgv,nil
190,trip_ter,nil
190,trip_taxi,nil
191,trip_tgv,nil
191,trip_ter,nil
191,trip_taxi,nil
192,trip_tgv,nil
192,trip_ter,nil
192,trip_taxi,nil
193,trip_tgv,nil
193,trip_ter,nil
193,trip_taxi,nil
194,trip_tgv,nil
194,trip_ter,nil
194,trip_taxi,nil
195,trip_tgv,nil
195,trip_ter,nil
195,trip_taxi,nil
196,trip_tgv,nil
196,trip_ter,nil
196,trip_taxi,nil
197,trip_tgv,nil
197,trip_ter,nil
197,trip_taxi,nil
198,trip_tgv,nil
198,trip_ter,nil
198,trip_taxi,nil
199,trip_tgv,nil
199,trip_ter,nil
199,trip_taxi,nil
200,trip_tgv,nil
200,trip_ter,nil
200,trip_taxi,nil
201,trip_tgv,nil
201,trip_ter,nil
201,trip_taxi,nil
202,trip_tgv,nil
202,trip_ter,nil
202,trip_taxi,nil
203,trip_tgv,nil
203,trip_ter,nil
203,trip_taxi,nil
204,trip_tgv,nil
204,trip_ter,nil
204,trip_taxi,nil
205,trip_tgv,nil
205,trip_ter,nil
205,trip_taxi,nil
206,trip_tgv,nil
206,trip_ter,nil
206,trip_taxi,nil
207,trip_tgv,nil
207,trip_ter,nil
207,trip_taxi,nil
208,trip_tgv,nil
208,trip_ter,nil
208,trip_taxi,nil
209,trip_tgv,nil
209,trip_ter,nil
209,trip_taxi,nil
210,trip_tgv,nil
210,trip_ter,nil
210,trip_taxi,nil
211,trip_tgv,nil
211,trip_ter,nil
211,trip_taxi,nil
212,trip_tgv,nil
212,trip_ter,nil
212,trip_taxi,nil
213,trip_tgv,nil
213,trip_ter,nil
213,trip_taxi,nil
214,trip_tgv,nil
214,trip_ter,nil
214,trip_taxi,nil
215,trip_tgv,nil
215,trip_ter,nil
215,trip_taxi,nil
216,trip_tgv,nil
216,trip_ter,nil
216,trip_taxi,nil
217,trip_tgv,nil
217,trip_ter,nil
217,trip_taxi,nil
218,trip_tgv,nil
218,trip_ter,nil
218,trip_taxi,nil
219,trip_tgv,nil
219,trip_ter,nil
219,trip_taxi,nil
220,trip_tgv,nil
220,trip_ter,nil
220,trip_taxi,nil
221,trip_tgv,nil
221,trip_ter,nil
221,trip_taxi,nil
222,trip_tgv,nil
222,trip_ter,nil
222,trip_taxi,nil
223,trip_tgv,nil
223,trip_ter,nil
223,trip_taxi,nil
224,trip_tgv,nil
224,trip_ter,nil
224,trip_taxi,nil
225,trip_tgv,nil
225,trip_ter,nil
225,trip_taxi,nil
226,trip_tgv,nil
226,trip_ter,nil
226,trip_taxi,nil
227,trip_tgv,nil
227,trip_ter,nil
227,trip_taxi,nil
228,trip_tgv,nil
228,trip_ter,nil
228,trip_taxi,nil
229,trip_tgv,nil
229,trip_ter,nil
