cycle,e,tick_emissions_Te
483,gCO2e emissions,nil
484,gCO2e emissions,nil
485,gCO2e emissions,nil
486,gCO2e emissions,nil
487,gCO2e emissions,nil
488,gCO2e emissions,nil
489,gCO2e emissions,nil
490,gCO2e emissions,nil
491,gCO2e emissions,nil
492,gCO2e emissions,nil
493,gCO2e emissions,nil
494,gCO2e emissions,nil
495,gCO2e emissions,nil
496,gCO2e emissions,nil
497,gCO2e emissions,nil
498,gCO2e emissions,nil
499,gCO2e emissions,nil
500,gCO2e emissions,nil
501,gCO2e emissions,nil
502,gCO2e emissions,nil
503,gCO2e emissions,nil
504,gCO2e emissions,nil
505,gCO2e emissions,nil
506,gCO2e emissions,nil
507,gCO2e emissions,nil
508,gCO2e emissions,nil
509,gCO2e emissions,nil
510,gCO2e emissions,nil
511,gCO2e emissions,nil
512,gCO2e emissions,nil
513,gCO2e emissions,nil
514,gCO2e emissions,nil
515,gCO2e emissions,nil
516,gCO2e emissions,nil
517,gCO2e emissions,nil
518,gCO2e emissions,nil
519,gCO2e emissions,nil
520,gCO2e emissions,nil
521,gCO2e emissions,nil
522,gCO2e emissions,nil
523,gCO2e emissions,nil
524,gCO2e emissions,nil
525,gCO2e emissions,nil
526,gCO2e emissions,nil
527,gCO2e emissions,nil
528,gCO2e emissions,nil
529,gCO2e emissions,nil
530,gCO2e emissions,nil
531,gCO2e emissions,nil
532,gCO2e emissions,nil
533,gCO2e emissions,nil
534,gCO2e emissions,nil
535,gCO2e emissions,nil
536,gCO2e emissions,nil
537,gCO2e emissions,nil
538,gCO2e emissions,nil
539,gCO2e emissions,nil
540,gCO2e emissions,nil
541,gCO2e emissions,nil
542,gCO2e emissions,nil
543,gCO2e emissions,nil
544,gCO2e emissions,nil
545,gCO2e emissions,nil
546,gCO2e emissions,nil
547,gCO2e emissions,nil
548,gCO2e emissions,nil
549,gCO2e emissions,nil
550,gCO2e emissions,nil
551,gCO2e emissions,nil
552,gCO2e emissions,nil
553,gCO2e emissions,nil
554,gCO2e emissions,nil
555,gCO2e emissions,nil
556,gCO2e emissions,nil
557,gCO2e emissions,nil
558,gCO2e emissions,nil
559,gCO2e emissions,nil
560,gCO2e emissions,nil
561,gCO2e emissions,nil
562,gCO2e emissions,nil
563,gCO2e emissions,nil
564,gCO2e emissions,nil
565,gCO2e emissions,nil
566,gCO2e emissions,nil
567,gCO2e emissions,nil
568,gCO2e emissions,nil
569,gCO2e emissions,nil
570,gCO2e emissions,nil
571,gCO2e emissions,nil
572,gCO2e emissions,nil
573,gCO2e emissions,nil
574,gCO2e emissions,nil
575,gCO2e emissions,nil
576,gCO2e emissions,nil
577,gCO2e emissions,nil
578,gCO2e emissions,nil
579,gCO2e emissions,nil
580,gCO2e emissions,nil
581,gCO2e emissions,nil
582,gCO2e emissions,nil
583,gCO2e emissions,nil
584,gCO2e emissions,nil
585,gCO2e emissions,nil
586,gCO2e emissions,nil
587,gCO2e emissions,nil
588,gCO2e emissions,nil
589,gCO2e emissions,nil
590,gCO2e emissions,nil
591,gCO2e emissions,nil
592,gCO2e emissions,nil
593,gCO2e emissions,nil
594,gCO2e emissions,nil
595,gCO2e emissions,nil
596,gCO2e emissions,nil
597,gCO2e emissions,nil
598,gCO2e emissions,nil
599,gCO2e emissions,nil
600,gCO2e emissions,nil
601,gCO2e emissions,nil
602,gCO2e emissions,nil
603,gCO2e emissions,nil
604,gCO2e emissions,nil
605,gCO2e emissions,nil
606,gCO2e emissions,nil
607,gCO2e emissions,nil
608,gCO2e emissions,nil
609,gCO2e emissions,nil
610,gCO2e emissions,nil
611,gCO2e emissions,nil
612,gCO2e emissions,nil
613,gCO2e emissions,nil
614,gCO2e emissions,nil
615,gCO2e emissions,nil
616,gCO2e emissions,nil
617,gCO2e emissions,nil
618,gCO2e emissions,nil
619,gCO2e emissions,nil
620,gCO2e emissions,nil
621,gCO2e emissions,nil
622,gCO2e emissions,nil
623,gCO2e emissions,nil
624,gCO2e emissions,nil
625,gCO2e emissions,nil
626,gCO2e emissions,nil
627,gCO2e emissions,nil
628,gCO2e emissions,nil
629,gCO2e emissions,nil
630,gCO2e emissions,nil
631,gCO2e emissions,nil
632,gCO2e emissions,nil
633,gCO2e emissions,nil
634,gCO2e emissions,nil
635,gCO2e emissions,nil
636,gCO2e emissions,nil
637,gCO2e emissions,nil
638,gCO2e emissions,nil
639,gCO2e emissions,nil
640,gCO2e emissions,nil
641,gCO2e emissions,nil
642,gCO2e emissions,nil
643,gCO2e emissions,nil
644,gCO2e emissions,nil
645,gCO2e emissions,nil
646,gCO2e emissions,nil
647,gCO2e emissions,nil
648,gCO2e emissions,nil
649,gCO2e emissions,nil
650,gCO2e emissions,nil
651,gCO2e emissions,nil
652,gCO2e emissions,nil
653,gCO2e emissions,nil
654,gCO2e emissions,nil
655,gCO2e emissions,nil
656,gCO2e emissions,nil
657,gCO2e emissions,nil
658,gCO2e emissions,nil
659,gCO2e emissions,nil
660,gCO2e emissions,nil
661,gCO2e emissions,nil
662,gCO2e emissions,nil
663,gCO2e emissions,nil
664,gCO2e emissions,nil
665,gCO2e emissions,nil
666,gCO2e emissions,nil
667,gCO2e emissions,nil
668,gCO2e emissions,nil
669,gCO2e emissions,nil
670,gCO2e emissions,nil
671,gCO2e emissions,nil
672,gCO2e emissions,nil
673,gCO2e emissions,nil
674,gCO2e emissions,nil
675,gCO2e emissions,nil
676,gCO2e emissions,nil
677,gCO2e emissions,nil
678,gCO2e emissions,nil
679,gCO2e emissions,nil
680,gCO2e emissions,nil
681,gCO2e emissions,nil
682,gCO2e emissions,nil
683,gCO2e emissions,nil
684,gCO2e emissions,nil
685,gCO2e emissions,nil
686,gCO2e emissions,nil
687,gCO2e emissions,nil
688,gCO2e emissions,nil
689,gCO2e emissions,nil
690,gCO2e emissions,nil
691,gCO2e emissions,nil
692,gCO2e emissions,nil
693,gCO2e emissions,nil
694,gCO2e emissions,nil
695,gCO2e emissions,nil
696,gCO2e emissions,nil
697,gCO2e emissions,nil
698,gCO2e emissions,nil
699,gCO2e emissions,nil
700,gCO2e emissions,nil
701,gCO2e emissions,nil
702,gCO2e emissions,nil
703,gCO2e emissions,nil
704,gCO2e emissions,nil
