cycle,c,tick_pop_consumption_Tc
225,ter,nil
225,truck,nil
225,taxi,nil
226,minibus,nil
226,tgv,nil
226,ter,nil
226,truck,nil
226,taxi,nil
227,minibus,nil
227,tgv,nil
227,ter,nil
227,truck,nil
227,taxi,nil
228,minibus,nil
228,tgv,nil
228,ter,nil
228,truck,nil
228,taxi,nil
229,minibus,nil
229,tgv,nil
229,ter,nil
229,truck,nil
229,taxi,nil
230,minibus,nil
230,tgv,nil
230,ter,nil
230,truck,nil
230,taxi,nil
231,minibus,nil
231,tgv,nil
231,ter,nil
231,truck,nil
231,taxi,nil
232,minibus,nil
232,tgv,nil
232,ter,nil
232,truck,nil
232,taxi,nil
233,minibus,nil
233,tgv,nil
233,ter,nil
233,truck,nil
233,taxi,nil
234,minibus,nil
234,tgv,nil
234,ter,nil
234,truck,nil
234,taxi,nil
235,minibus,nil
235,tgv,nil
235,ter,nil
235,truck,nil
235,taxi,nil
236,minibus,nil
236,tgv,nil
236,ter,nil
236,truck,nil
236,taxi,nil
237,minibus,nil
237,tgv,nil
237,ter,nil
237,truck,nil
237,taxi,nil
238,minibus,nil
238,tgv,nil
238,ter,nil
238,truck,nil
238,taxi,nil
239,minibus,nil
239,tgv,nil
239,ter,nil
239,truck,nil
239,taxi,nil
240,minibus,nil
240,tgv,nil
240,ter,nil
240,truck,nil
240,taxi,nil
241,minibus,nil
241,tgv,nil
241,ter,nil
241,truck,nil
241,taxi,nil
242,minibus,nil
242,tgv,nil
242,ter,nil
242,truck,nil
242,taxi,nil
243,minibus,nil
243,tgv,nil
243,ter,nil
243,truck,nil
243,taxi,nil
244,minibus,nil
244,tgv,nil
244,ter,nil
244,truck,nil
244,taxi,nil
245,minibus,nil
245,tgv,nil
245,ter,nil
245,truck,nil
245,taxi,nil
246,minibus,nil
246,tgv,nil
246,ter,nil
246,truck,nil
246,taxi,nil
247,minibus,nil
247,tgv,nil
247,ter,nil
247,truck,nil
247,taxi,nil
248,minibus,nil
248,tgv,nil
248,ter,nil
248,truck,nil
248,taxi,nil
249,minibus,nil
249,tgv,nil
249,ter,nil
249,truck,nil
249,taxi,nil
250,minibus,nil
250,tgv,nil
250,ter,nil
250,truck,nil
250,taxi,nil
251,minibus,nil
251,tgv,nil
251,ter,nil
251,truck,nil
251,taxi,nil
252,minibus,nil
252,tgv,nil
252,ter,nil
252,truck,nil
252,taxi,nil
253,minibus,nil
253,tgv,nil
253,ter,nil
253,truck,nil
253,taxi,nil
254,minibus,nil
254,tgv,nil
254,ter,nil
254,truck,nil
254,taxi,nil
255,minibus,nil
255,tgv,nil
255,ter,nil
255,truck,nil
255,taxi,nil
256,minibus,nil
256,tgv,nil
256,ter,nil
256,truck,nil
256,taxi,nil
257,minibus,nil
257,tgv,nil
257,ter,nil
257,truck,nil
257,taxi,nil
258,minibus,nil
258,tgv,nil
258,ter,nil
258,truck,nil
258,taxi,nil
259,minibus,nil
259,tgv,nil
259,ter,nil
259,truck,nil
259,taxi,nil
260,minibus,nil
260,tgv,nil
260,ter,nil
260,truck,nil
260,taxi,nil
261,minibus,nil
261,tgv,nil
261,ter,nil
261,truck,nil
261,taxi,nil
262,minibus,nil
262,tgv,nil
262,ter,nil
262,truck,nil
262,taxi,nil
263,minibus,nil
263,tgv,nil
263,ter,nil
263,truck,nil
263,taxi,nil
264,minibus,nil
264,tgv,nil
264,ter,nil
264,truck,nil
264,taxi,nil
265,minibus,nil
265,tgv,nil
265,ter,nil
265,truck,nil
265,taxi,nil
266,minibus,nil
266,tgv,nil
266,ter,nil
266,truck,nil
266,taxi,nil
267,minibus,nil
267,tgv,nil
267,ter,nil
267,truck,nil
267,taxi,nil
268,minibus,nil
268,tgv,nil
268,ter,nil
268,truck,nil
268,taxi,nil
269,minibus,nil
269,tgv,nil
269,ter,nil
269,truck,nil
269,taxi,nil
270,minibus,nil
270,tgv,nil
270,ter,nil
270,truck,nil
270,taxi,nil
271,minibus,nil
271,tgv,nil
271,ter,nil
271,truck,nil
271,taxi,nil
272,minibus,nil
272,tgv,nil
272,ter,nil
272,truck,nil
272,taxi,nil
273,minibus,nil
273,tgv,nil
273,ter,nil
273,truck,nil
273,taxi,nil
274,minibus,nil
274,tgv,nil
274,ter,nil
274,truck,nil
274,taxi,nil
275,minibus,nil
275,tgv,nil
275,ter,nil
275,truck,nil
275,taxi,nil
276,minibus,nil
276,tgv,nil
276,ter,nil
276,truck,nil
276,taxi,nil
277,minibus,nil
277,tgv,nil
277,ter,nil
277,truck,nil
277,taxi,nil
278,minibus,nil
278,tgv,nil
278,ter,nil
278,truck,nil
278,taxi,nil
279,minibus,nil
279,tgv,nil
279,ter,nil
279,truck,nil
279,taxi,nil
280,minibus,nil
280,tgv,nil
280,ter,nil
280,truck,nil
280,taxi,nil
281,minibus,nil
281,tgv,nil
281,ter,nil
281,truck,nil
281,taxi,nil
282,minibus,nil
282,tgv,nil
282,ter,nil
282,truck,nil
282,taxi,nil
283,minibus,nil
283,tgv,nil
283,ter,nil
283,truck,nil
283,taxi,nil
284,minibus,nil
284,tgv,nil
284,ter,nil
284,truck,nil
284,taxi,nil
285,minibus,nil
285,tgv,nil
285,ter,nil
285,truck,nil
285,taxi,nil
286,minibus,nil
286,tgv,nil
286,ter,nil
286,truck,nil
286,taxi,nil
287,minibus,nil
287,tgv,nil
287,ter,nil
287,truck,nil
287,taxi,nil
288,minibus,nil
288,tgv,nil
288,ter,nil
288,truck,nil
288,taxi,nil
289,minibus,nil
289,tgv,nil
289,ter,nil
289,truck,nil
289,taxi,nil
290,minibus,nil
290,tgv,nil
290,ter,nil
290,truck,nil
290,taxi,nil
291,minibus,nil
291,tgv,nil
291,ter,nil
291,truck,nil
291,taxi,nil
292,minibus,nil
292,tgv,nil
292,ter,nil
292,truck,nil
292,taxi,nil
293,minibus,nil
293,tgv,nil
293,ter,nil
293,truck,nil
293,taxi,nil
294,minibus,nil
294,tgv,nil
294,ter,nil
294,truck,nil
294,taxi,nil
295,minibus,nil
295,tgv,nil
295,ter,nil
295,truck,nil
295,taxi,nil
296,minibus,nil
296,tgv,nil
296,ter,nil
296,truck,nil
296,taxi,nil
297,minibus,nil
297,tgv,nil
297,ter,nil
297,truck,nil
297,taxi,nil
298,minibus,nil
298,tgv,nil
298,ter,nil
298,truck,nil
298,taxi,nil
299,minibus,nil
299,tgv,nil
299,ter,nil
299,truck,nil
299,taxi,nil
300,minibus,nil
300,tgv,nil
300,ter,nil
300,truck,nil
300,taxi,nil
301,minibus,nil
301,tgv,nil
301,ter,nil
301,truck,nil
301,taxi,nil
302,minibus,nil
302,tgv,nil
302,ter,nil
302,truck,nil
302,taxi,nil
303,minibus,nil
303,tgv,nil
303,ter,nil
303,truck,nil
303,taxi,nil
304,minibus,nil
304,tgv,nil
304,ter,nil
304,truck,nil
304,taxi,nil
305,minibus,nil
305,tgv,nil
305,ter,nil
305,truck,nil
