cycle,o,tick_consumption_Uo
64,modular house,0.5
64,modular house extension,nil
64,wooden house,0.2
64,plastic factory,0.1
64,company,0.1
64,leisure,0.1
64,school,0.2
65,modular house,0.5
65,modular house extension,nil
65,wooden house,0.2
65,plastic factory,0.1
65,company,0.1
65,leisure,0.1
65,school,0.2
66,modular house,0.5
66,modular house extension,nil
66,wooden house,0.2
66,plastic factory,0.1
66,company,0.1
66,leisure,0.1
66,school,0.2
67,modular house,0.5
67,modular house extension,nil
67,wooden house,0.2
67,plastic factory,0.1
67,company,0.1
67,leisure,0.1
67,school,0.2
68,modular house,0.5
68,modular house extension,nil
68,wooden house,0.2
68,plastic factory,0.1
68,company,0.1
68,leisure,0.1
68,school,0.2
69,modular house,0.5
69,modular house extension,nil
69,wooden house,0.2
69,plastic factory,0.1
69,company,0.1
69,leisure,0.1
69,school,0.2
70,modular house,0.5
70,modular house extension,nil
70,wooden house,0.2
70,plastic factory,0.1
70,company,0.1
70,leisure,0.1
70,school,0.2
71,modular house,0.5
71,modular house extension,nil
71,wooden house,0.2
71,plastic factory,0.1
71,company,0.1
71,leisure,0.1
71,school,0.2
72,modular house,0.5
72,modular house extension,nil
72,wooden house,0.2
72,plastic factory,0.1
72,company,0.1
72,leisure,0.1
72,school,0.2
73,modular house,0.5
73,modular house extension,nil
73,wooden house,0.2
73,plastic factory,0.1
73,company,0.1
73,leisure,0.1
73,school,0.2
74,modular house,0.5
74,modular house extension,nil
74,wooden house,0.2
74,plastic factory,0.1
74,company,0.1
74,leisure,0.1
74,school,0.2
75,modular house,0.5
75,modular house extension,nil
75,wooden house,0.2
75,plastic factory,0.1
75,company,0.1
75,leisure,0.1
75,school,0.2
76,modular house,0.5
76,modular house extension,nil
76,wooden house,0.2
76,plastic factory,0.1
76,company,0.1
76,leisure,0.1
76,school,0.2
77,modular house,0.5
77,modular house extension,nil
77,wooden house,0.2
77,plastic factory,0.1
77,company,0.1
77,leisure,0.1
77,school,0.2
78,modular house,0.5
78,modular house extension,nil
78,wooden house,0.2
78,plastic factory,0.1
78,company,0.1
78,leisure,0.1
78,school,0.2
79,modular house,0.5
79,modular house extension,nil
79,wooden house,0.2
79,plastic factory,0.1
79,company,0.1
79,leisure,0.1
79,school,0.2
80,modular house,0.5
80,modular house extension,nil
80,wooden house,0.2
80,plastic factory,0.1
80,company,0.1
80,leisure,0.1
80,school,0.2
81,modular house,0.5
81,modular house extension,nil
81,wooden house,0.2
81,plastic factory,0.1
81,company,0.1
81,leisure,0.1
81,school,0.2
82,modular house,0.5
82,modular house extension,nil
82,wooden house,0.2
82,plastic factory,0.1
82,company,0.1
82,leisure,0.1
82,school,0.2
83,modular house,0.5
83,modular house extension,nil
83,wooden house,0.2
83,plastic factory,0.1
83,company,0.1
83,leisure,0.1
83,school,0.2
84,modular house,0.5
84,modular house extension,nil
84,wooden house,0.2
84,plastic factory,0.1
84,company,0.1
84,leisure,0.1
84,school,0.2
85,modular house,0.5
85,modular house extension,nil
85,wooden house,0.2
85,plastic factory,0.1
85,company,0.1
85,leisure,0.1
85,school,0.2
86,modular house,0.5
86,modular house extension,nil
86,wooden house,0.2
86,plastic factory,0.1
86,company,0.1
86,leisure,0.1
86,school,0.2
87,modular house,0.5
87,modular house extension,nil
87,wooden house,0.2
87,plastic factory,0.1
87,company,0.1
87,leisure,0.1
87,school,0.2
88,modular house,0.5
88,modular house extension,nil
88,wooden house,0.2
88,plastic factory,0.1
88,company,0.1
88,leisure,0.1
88,school,0.2
89,modular house,0.5
89,modular house extension,nil
89,wooden house,0.2
89,plastic factory,0.1
89,company,0.1
89,leisure,0.1
89,school,0.2
90,modular house,0.5
90,modular house extension,nil
90,wooden house,0.2
90,plastic factory,0.1
90,company,0.1
90,leisure,0.1
90,school,0.2
91,modular house,0.5
91,modular house extension,nil
91,wooden house,0.2
91,plastic factory,0.1
91,company,0.1
91,leisure,0.1
91,school,0.2
92,modular house,0.5
92,modular house extension,nil
92,wooden house,0.2
92,plastic factory,0.1
92,company,0.1
92,leisure,0.1
92,school,0.2
93,modular house,0.5
93,modular house extension,nil
93,wooden house,0.2
93,plastic factory,0.1
93,company,0.1
93,leisure,0.1
93,school,0.2
94,modular house,0.5
94,modular house extension,nil
94,wooden house,0.2
94,plastic factory,0.1
94,company,0.1
94,leisure,0.1
94,school,0.2
0,modular house,nil
0,modular house extension,nil
0,wooden house,nil
0,plastic factory,nil
0,company,nil
0,leisure,nil
0,school,nil
1,modular house,nil
1,modular house extension,nil
1,wooden house,nil
1,plastic factory,nil
1,company,nil
1,leisure,nil
1,school,nil
2,modular house,0.2
2,modular house extension,nil
2,wooden house,0.2
2,plastic factory,0.2
2,company,0.2
2,leisure,0.2
2,school,0.2
3,modular house,0.2
3,modular house extension,nil
3,wooden house,0.2
3,plastic factory,0.2
3,company,0.2
3,leisure,0.2
3,school,0.2
4,modular house,0.2
4,modular house extension,nil
4,wooden house,0.2
4,plastic factory,0.2
4,company,0.2
4,leisure,0.2
4,school,0.2
5,modular house,0.2
5,modular house extension,nil
5,wooden house,0.2
5,plastic factory,0.2
5,company,0.2
5,leisure,0.2
5,school,0.2
6,modular house,0.2
6,modular house extension,nil
6,wooden house,0.2
6,plastic factory,0.2
6,company,0.2
6,leisure,0.2
6,school,0.2
7,modular house,0.2
7,modular house extension,nil
7,wooden house,0.2
7,plastic factory,0.2
7,company,0.2
7,leisure,0.2
7,school,0.2
8,modular house,0.2
8,modular house extension,nil
8,wooden house,0.2
8,plastic factory,0.2
8,company,0.2
8,leisure,0.2
8,school,0.2
9,modular house,0.2
9,modular house extension,nil
9,wooden house,0.2
9,plastic factory,0.2
9,company,0.2
9,leisure,0.2
9,school,0.2
10,modular house,0.2
10,modular house extension,nil
10,wooden house,0.2
10,plastic factory,0.2
10,company,0.2
10,leisure,0.2
10,school,0.2
11,modular house,0.2
11,modular house extension,nil
11,wooden house,0.2
11,plastic factory,0.2
11,company,0.2
11,leisure,0.2
11,school,0.2
12,modular house,0.2
12,modular house extension,nil
12,wooden house,0.2
12,plastic factory,0.2
12,company,0.2
12,leisure,0.2
12,school,0.2
13,modular house,0.2
13,modular house extension,nil
13,wooden house,0.2
13,plastic factory,0.2
13,company,0.2
13,leisure,0.2
13,school,0.2
14,modular house,0.2
14,modular house extension,nil
14,wooden house,0.2
14,plastic factory,0.2
14,company,0.2
14,leisure,0.2
14,school,0.2
15,modular house,0.2
15,modular house extension,nil
15,wooden house,0.2
15,plastic factory,0.2
15,company,0.2
15,leisure,0.2
15,school,0.2
16,modular house,0.2
16,modular house extension,nil
16,wooden house,0.2
16,plastic factory,0.2
16,company,0.2
16,leisure,0.2
16,school,0.2
17,modular house,0.2
17,modular house extension,nil
17,wooden house,0.2
17,plastic factory,0.2
17,company,0.2
17,leisure,0.2
17,school,0.2
18,modular house,0.2
18,modular house extension,nil
18,wooden house,0.2
18,plastic factory,0.2
18,company,0.2
18,leisure,0.2
18,school,0.2
19,modular house,0.2
19,modular house extension,nil
19,wooden house,0.2
19,plastic factory,0.2
19,company,0.2
19,leisure,0.2
19,school,0.2
20,modular house,0.2
20,modular house extension,nil
20,wooden house,0.2
20,plastic factory,0.2
20,company,0.2
20,leisure,0.2
20,school,0.2
21,modular house,0.2
21,modular house extension,nil
21,wooden house,0.2
21,plastic factory,0.2
21,company,0.2
21,leisure,0.2
21,school,0.2
22,modular house,0.2
22,modular house extension,nil
22,wooden house,0.2
22,plastic factory,0.2
22,company,0.2
22,leisure,0.2
22,school,0.2
23,modular house,0.2
23,modular house extension,nil
23,wooden house,0.2
23,plastic factory,0.2
23,company,0.2
23,leisure,0.2
23,school,0.2
24,modular house,0.2
24,modular house extension,nil
24,wooden house,0.2
24,plastic factory,0.2
24,company,0.2
24,leisure,0.2
24,school,0.2
25,modular house,0.2
25,modular house extension,nil
25,wooden house,0.2
25,plastic factory,0.2
25,company,0.2
25,leisure,0.2
25,school,0.2
26,modular house,0.2
26,modular house extension,nil
26,wooden house,0.2
26,plastic factory,0.2
26,company,0.2
26,leisure,0.2
26,school,0.2
27,modular house,0.2
27,modular house extension,nil
27,wooden house,0.2
27,plastic factory,0.2
27,company,0.2
27,leisure,0.2
27,school,0.2
28,modular house,0.2
28,modular house extension,nil
28,wooden house,0.2
28,plastic factory,0.2
28,company,0.2
28,leisure,0.2
28,school,0.2
29,modular house,0.2
29,modular house extension,nil
29,wooden house,0.2
29,plastic factory,0.2
29,company,0.2
29,leisure,0.2
29,school,0.2
30,modular house,0.2
30,modular house extension,nil
30,wooden house,0.2
30,plastic factory,0.2
30,company,0.2
30,leisure,0.2
30,school,0.2
31,modular house,0.2
31,modular house extension,nil
31,wooden house,0.2
31,plastic factory,0.2
31,company,0.2
31,leisure,0.2
31,school,0.2
32,modular house,0.2
32,modular house extension,nil
32,wooden house,0.2
32,plastic factory,0.2
32,company,0.2
32,leisure,0.2
32,school,0.2
33,modular house,0.2
33,modular house extension,nil
33,wooden house,0.2
33,plastic factory,0.2
33,company,0.2
33,leisure,0.2
33,school,0.2
34,modular house,0.2
34,modular house extension,nil
34,wooden house,0.2
34,plastic factory,0.2
34,company,0.2
34,leisure,0.2
34,school,0.2
35,modular house,0.2
35,modular house extension,nil
35,wooden house,0.2
35,plastic factory,0.2
35,company,0.2
35,leisure,0.2
35,school,0.2
36,modular house,0.2
36,modular house extension,nil
36,wooden house,0.2
36,plastic factory,0.2
36,company,0.2
36,leisure,0.2
36,school,0.2
37,modular house,0.2
37,modular house extension,nil
37,wooden house,0.2
37,plastic factory,0.2
37,company,0.2
37,leisure,0.2
37,school,0.2
38,modular house,0.2
38,modular house extension,nil
38,wooden house,0.2
38,plastic factory,0.2
38,company,0.2
38,leisure,0.2
38,school,0.2
39,modular house,0.2
39,modular house extension,nil
39,wooden house,0.2
39,plastic factory,0.2
39,company,0.2
39,leisure,0.2
39,school,0.2
40,modular house,0.2
40,modular house extension,nil
40,wooden house,0.2
40,plastic factory,0.2
40,company,0.2
40,leisure,0.2
40,school,0.2
41,modular house,0.2
41,modular house extension,nil
41,wooden house,0.2
41,plastic factory,0.2
41,company,0.2
41,leisure,0.2
41,school,0.2
42,modular house,0.2
42,modular house extension,nil
42,wooden house,0.2
42,plastic factory,0.2
42,company,0.2
42,leisure,0.2
42,school,0.2
43,modular house,0.2
43,modular house extension,nil
43,wooden house,0.2
43,plastic factory,0.2
43,company,0.2
43,leisure,0.2
43,school,0.2
44,modular house,0.2
44,modular house extension,nil
44,wooden house,0.2
44,plastic factory,0.2
44,company,0.2
44,leisure,0.2
44,school,0.2
45,modular house,0.2
45,modular house extension,nil
45,wooden house,0.2
45,plastic factory,0.2
45,company,0.2
45,leisure,0.2
45,school,0.2
46,modular house,0.2
46,modular house extension,nil
46,wooden house,0.2
46,plastic factory,0.2
46,company,0.2
46,leisure,0.2
46,school,0.2
47,modular house,0.2
47,modular house extension,nil
47,wooden house,0.2
47,plastic factory,0.2
47,company,0.2
47,leisure,0.2
47,school,0.2
48,modular house,0.2
48,modular house extension,nil
48,wooden house,0.2
48,plastic factory,0.2
48,company,0.2
48,leisure,0.2
48,school,0.2
49,modular house,0.2
49,modular house extension,nil
49,wooden house,0.2
49,plastic factory,0.2
49,company,0.2
49,leisure,0.2
49,school,0.2
50,modular house,0.2
50,modular house extension,nil
50,wooden house,0.2
50,plastic factory,0.2
50,company,0.2
50,leisure,0.2
50,school,0.2
51,modular house,0.2
