cycle,o,tick_production_Uo
62,leisure,0.0
62,school,0.0
63,modular house,0.0
63,modular house extension,0.0
63,wooden house,23.0
63,plastic factory,0.0
63,company,0.0
63,leisure,0.0
63,school,0.0
64,modular house,0.0
64,modular house extension,0.0
64,wooden house,40.0
64,plastic factory,0.0
64,company,0.0
64,leisure,0.0
64,school,0.0
65,modular house,0.0
65,modular house extension,0.0
65,wooden house,56.0
65,plastic factory,0.0
65,company,0.0
65,leisure,0.0
65,school,0.0
66,modular house,0.0
66,modular house extension,0.0
66,wooden house,74.0
66,plastic factory,0.0
66,company,0.0
66,leisure,0.0
66,school,0.0
67,modular house,0.0
67,modular house extension,0.0
67,wooden house,102.0
67,plastic factory,0.0
67,company,0.0
67,leisure,0.0
67,school,0.0
68,modular house,0.0
68,modular house extension,0.0
68,wooden house,138.0
68,plastic factory,0.0
68,company,0.0
68,leisure,0.0
68,school,0.0
69,modular house,0.0
69,modular house extension,0.0
69,wooden house,175.0
69,plastic factory,0.0
69,company,0.0
69,leisure,0.0
69,school,0.0
70,modular house,0.0
70,modular house extension,0.0
70,wooden house,210.0
70,plastic factory,0.0
70,company,0.0
70,leisure,0.0
70,school,0.0
71,modular house,0.0
71,modular house extension,0.0
71,wooden house,244.0
71,plastic factory,0.0
71,company,0.0
71,leisure,0.0
71,school,0.0
72,modular house,0.0
72,modular house extension,0.0
72,wooden house,264.0
72,plastic factory,0.0
72,company,0.0
72,leisure,0.0
72,school,0.0
73,modular house,0.0
73,modular house extension,0.0
73,wooden house,289.0
73,plastic factory,0.0
73,company,0.0
73,leisure,0.0
73,school,0.0
74,modular house,0.0
74,modular house extension,0.0
74,wooden house,295.0
74,plastic factory,0.0
74,company,0.0
74,leisure,0.0
74,school,0.0
75,modular house,0.0
75,modular house extension,0.0
75,wooden house,292.0
75,plastic factory,0.0
75,company,0.0
75,leisure,0.0
75,school,0.0
76,modular house,0.0
76,modular house extension,0.0
76,wooden house,280.0
76,plastic factory,0.0
76,company,0.0
76,leisure,0.0
76,school,0.0
77,modular house,0.0
77,modular house extension,0.0
77,wooden house,268.0
77,plastic factory,0.0
77,company,0.0
77,leisure,0.0
77,school,0.0
78,modular house,0.0
78,modular house extension,0.0
78,wooden house,241.0
78,plastic factory,0.0
78,company,0.0
78,leisure,0.0
78,school,0.0
79,modular house,0.0
79,modular house extension,0.0
79,wooden house,205.0
79,plastic factory,0.0
79,company,0.0
79,leisure,0.0
79,school,0.0
80,modular house,0.0
80,modular house extension,0.0
80,wooden house,168.0
80,plastic factory,0.0
80,company,0.0
80,leisure,0.0
80,school,0.0
81,modular house,0.0
81,modular house extension,0.0
81,wooden house,133.0
81,plastic factory,0.0
81,company,0.0
81,leisure,0.0
81,school,0.0
82,modular house,0.0
82,modular house extension,0.0
82,wooden house,97.0
82,plastic factory,0.0
82,company,0.0
82,leisure,0.0
82,school,0.0
83,modular house,0.0
83,modular house extension,0.0
83,wooden house,74.0
83,plastic factory,0.0
83,company,0.0
