cycle,i,tick_resources_used_Ui
98,m² land,0.0
98,kWh energy,454000.0
99,m3_wood,0.0
99,kg_cotton,0.0
99,m² land,0.0
99,kWh energy,338000.0
100,m3_wood,0.0
100,kg_cotton,0.0
100,m² land,0.0
100,kWh energy,239000.0
101,m3_wood,0.0
101,kg_cotton,0.0
101,m² land,0.0
101,kWh energy,157000.0
102,m3_wood,0.0
102,kg_cotton,0.0
102,m² land,0.0
102,kWh energy,86000.0
103,m3_wood,0.0
103,kg_cotton,0.0
103,m² land,0.0
103,kWh energy,40000.0
104,m3_wood,0.0
104,kg_cotton,0.0
104,m² land,0.0
104,kWh energy,13000.0
105,m3_wood,0.0
105,kg_cotton,0.0
105,m² land,0.0
105,kWh energy,7000.0
106,m3_wood,0.0
106,kg_cotton,0.0
106,m² land,0.0
106,kWh energy,3000.0
107,m3_wood,0.0
107,kg_cotton,0.0
107,m² land,0.0
107,kWh energy,1000.0
108,m3_wood,0.0
108,kg_cotton,0.0
108,m² land,0.0
108,kWh energy,8000.0
109,m3_wood,0.0
109,kg_cotton,0.0
109,m² land,0.0
109,kWh energy,20000.0
110,m3_wood,0.0
110,kg_cotton,0.0
110,m² land,0.0
110,kWh energy,35000.0
111,m3_wood,0.0
111,kg_cotton,0.0
111,m² land,0.0
111,kWh energy,70000.0
112,m3_wood,0.0
112,kg_cotton,0.0
112,m² land,0.0
112,kWh energy,120000.0
113,m3_wood,0.0
113,kg_cotton,0.0
113,m² land,0.0
113,kWh energy,195000.0
114,m3_wood,0.0
114,kg_cotton,0.0
114,m² land,0.0
114,kWh energy,281000.0
115,m3_wood,0.0
115,kg_cotton,0.0
115,m² land,0.0
115,kWh energy,385000.0
116,m3_wood,0.0
116,kg_cotton,0.0
116,m² land,0.0
116,kWh energy,504000.0
117,m3_wood,0.0
117,kg_cotton,0.0
117,m² land,0.0
117,kWh energy,607000.0
118,m3_wood,0.0
118,kg_cotton,0.0
118,m² land,0.0
118,kWh energy,716000.0
119,m3_wood,0.0
119,kg_cotton,0.0
119,m² land,0.0
119,kWh energy,803000.0
120,m3_wood,0.0
120,kg_cotton,0.0
120,m² land,0.0
120,kWh energy,855000.0
121,m3_wood,0.0
121,kg_cotton,0.0
121,m² land,0.0
121,kWh energy,887000.0
122,m3_wood,0.0
122,kg_cotton,0.0
122,m² land,0.0
122,kWh energy,886000.0
123,m3_wood,0.0
123,kg_cotton,0.0
123,m² land,0.0
123,kWh energy,846000.0
124,m3_wood,0.0
124,kg_cotton,0.0
124,m² land,0.0
124,kWh energy,779000.0
125,m3_wood,0.0
125,kg_cotton,0.0
125,m² land,0.0
125,kWh energy,680000.0
126,m3_wood,0.0
126,kg_cotton,0.0
126,m² land,0.0
126,kWh energy,557000.0
127,m3_wood,0.0
127,kg_cotton,0.0
127,m² land,0.0
127,kWh energy,438000.0
128,m3_wood,0.0
128,kg_cotton,0.0
128,m² land,0.0
128,kWh energy,324000.0
129,m3_wood,0.0
129,kg_cotton,0.0
129,m² land,0.0
129,kWh energy,236000.0
130,m3_wood,0.0
130,kg_cotton,0.0
130,m² land,0.0
130,kWh energy,156000.0
131,m3_wood,0.0
131,kg_cotton,0.0
131,m² land,0.0
131,kWh energy,94000.0
132,m3_wood,0.0
132,kg_cotton,0.0
132,m² land,0.0
132,kWh energy,59000.0
0,m3_wood,nil
0,kg_cotton,nil
0,m² land,nil
0,kWh energy,nil
1,m3_wood,nil
1,kg_cotton,nil
1,m² land,nil
1,kWh energy,nil
2,m3_wood,642096.0
2,kg_cotton,0.0
2,m² land,288120.0
2,kWh energy,1029000.0
3,m3_wood,642096.0
3,kg_cotton,0.0
3,m² land,288120.0
3,kWh energy,1029000.0
4,m3_wood,642096.0
4,kg_cotton,0.0
4,m² land,288120.0
4,kWh energy,1029000.0
5,m3_wood,642096.0
5,kg_cotton,0.0
5,m² land,288120.0
5,kWh energy,1029000.0
6,m3_wood,642096.0
6,kg_cotton,0.0
6,m² land,288120.0
6,kWh energy,1029000.0
7,m3_wood,642096.0
7,kg_cotton,0.0
7,m² land,288120.0
7,kWh energy,1029000.0
8,m3_wood,642096.0
8,kg_cotton,0.0
8,m² land,288120.0
8,kWh energy,1029000.0
9,m3_wood,642096.0
9,kg_cotton,0.0
9,m² land,288120.0
9,kWh energy,1029000.0
10,m3_wood,642096.0
10,kg_cotton,0.0
10,m² land,288120.0
10,kWh energy,1029000.0
11,m3_wood,642096.0
11,kg_cotton,0.0
11,m² land,288120.0
11,kWh energy,1029000.0
12,m3_wood,0.0
12,kg_cotton,0.0
12,m² land,0.0
12,kWh energy,0.0
13,m3_wood,0.0
13,kg_cotton,0.0
13,m² land,0.0
13,kWh energy,0.0
14,m3_wood,0.0
14,kg_cotton,0.0
14,m² land,0.0
14,kWh energy,0.0
15,m3_wood,0.0
15,kg_cotton,0.0
15,m² land,0.0
15,kWh energy,0.0
16,m3_wood,0.0
